runtime_seconds,419.3644915999612
runtime_display,6 min 59.4 s

detuning_ghz,source_power_w,transport_feasible,handover_transfer_efficiency,science_total_temperature_rise_uK,final_retention_from_mot,science_peak_density_m3
675.0,1.0,True,0.726,3.6239911317215636,0.510685824,2.2325135769261404e+18
700.0,1.0,True,0.694,3.4322368935282057,0.512649472,2.1565907265027274e+18
725.0,1.0,True,0.7,3.931280286051667,0.5105856,1.9820166362921692e+18
750.0,1.0,True,0.678,2.719872993513224,0.4617180000000001,1.8485927075359014e+18
775.0,1.0,True,0.688,3.1111784748584306,0.45573119999999995,1.699611444722613e+18
800.0,1.0,True,0.672,1.2100976169156894,0.4600135680000001,1.8676719161629097e+18
100.0,1.1,True,0.988,123.34698835054013,0.901056,4.844705486944864e+18
125.0,1.1,True,0.974,95.80544027317877,0.861016,4.582253169339379e+18
150.0,1.1,True,0.976,70.88339822990676,0.876448,5.126313031724119e+18
175.0,1.1,True,0.966,55.215220724915994,0.85974,5.323523087159025e+18
200.0,1.1,True,0.956,54.946951688269834,0.827896,4.236831888588021e+18
225.0,1.1,True,0.958,50.80841755268935,0.84304,3.954312848905986e+18
250.0,1.1,True,0.956,40.43572154982333,0.82216,4.193737204156088e+18
275.0,1.1,True,0.928,39.812451579393034,0.77024,3.47372641721443e+18
300.0,1.1,True,0.932,34.937629646471414,0.7868950560000001,3.553331579225874e+18
325.0,1.1,True,0.912,34.03458587193302,0.750298752,3.0934710548200545e+18
350.0,1.1,True,0.896,24.855177012048017,0.7386158079999999,3.618016750854896e+18
375.0,1.1,True,0.902,25.015143408901253,0.7208567520000001,3.1802023489231667e+18
400.0,1.1,True,0.868,24.9101847746616,0.689546144,2.782620701812725e+18
425.0,1.1,True,0.854,21.871149543289683,0.6679134,2.745107090933222e+18
450.0,1.1,True,0.868,19.515879162366595,0.691525184,2.8570200078902446e+18
475.0,1.1,True,0.862,15.814075366016738,0.661271232,2.931680415559097e+18
500.0,1.1,True,0.832,16.971803350088763,0.65554944,2.576136937037548e+18
525.0,1.1,True,0.79,16.370743729407373,0.61500552,2.3114935270254884e+18
550.0,1.1,True,0.788,12.700317202784532,0.609117696,2.5145291879666386e+18
575.0,1.1,True,0.808,11.879912510679166,0.63171056,2.544514226114336e+18
600.0,1.1,True,0.796,8.774229300845427,0.59451648,2.630405473579274e+18
625.0,1.1,True,0.77,9.216958050687843,0.55914628,2.2832925027613174e+18
650.0,1.1,True,0.744,8.923694859157045,0.551670048,2.1649367280348905e+18
675.0,1.1,True,0.724,7.566587993084976,0.516936,2.0683379247432937e+18
700.0,1.1,True,0.72,5.682043744395674,0.5392224,2.280764390059487e+18
725.0,1.1,True,0.724,6.51126105879343,0.5342106400000001,2.051840582089698e+18
750.0,1.1,True,0.702,4.322233433722989,0.49250073600000005,2.0538277228871217e+18
775.0,1.1,True,0.692,1.7872119022335902,0.5054284960000001,2.375856944882896e+18
800.0,1.1,True,0.7,5.0561688986207685,0.4978176,1.8160642981415644e+18
100.0,1.2000000000000002,True,0.988,117.94119519180677,0.881296,5.719553427497276e+18
125.0,1.2000000000000002,True,0.986,98.06354253997004,0.875568,5.157750241930302e+18
150.0,1.2000000000000002,True,0.978,78.4382668725642,0.876288,5.180713449196336e+18
175.0,1.2000000000000002,True,0.976,72.05695455882909,0.8510719999999999,4.4346040480720896e+18
200.0,1.2000000000000002,True,0.972,56.9748835735693,0.859248,4.813646772326986e+18
